"","title","hit","url_val","contentlist"
"15","몰카 찍다가 걸렸습니다ㅠㅠ(범죄 아니에요)","816","https://www.clien.net/service/board/park/14747014?od=T31&po=0&category=&groupCd=community","      재택근무 중입니다.   방에 앉아서 업무를 보고 있는데 거실쪽에서 10살 딸래미가 유튜브에서 클래버TV라고 키즈돌(?) 음악에 맞춰 춤을 추고 있더라구요ㅎ   엉덩이 씰룩 씰룩~ㅋㅋ그 모습이 너무 귀여워서 뒤에서 몰래 영상 촬영을 하고 있었는데   한바퀴 휙 도는 동작 중에 제가 촬영하고 있는 모습을 걸렸습니다.   보자마자 삭제해~삭제해~막 달려들더라구요ㅎㅎ   나중에라도 보존해 놓으면 좋을것 같아 만원을 줄테니까 그냥 남겨놓자 얘기했더니...   오히려 자기가 만원을 줄테니 삭제하라고ㅋㅋㅋ   일단은 배 아픈척 화장실에 들어가 영상 잠금으로 해놓고 지웠다고 확인시켜 주긴 했는데   자기 방에 들어가 우네요ㅠㅠ   말하고 찍어야지 왜 몰래 찍냐고ㅠㅠㅠ   "
"16","'제발 오지말라' 호소로 안돼…진해 벚꽃길목 아예 막는다","1067","https://www.clien.net/service/board/park/14747013?od=T31&po=0&category=&groupCd=community","      23일 창원시에 따르면 이날부터 진해 경화역에 대한 출입을 전면 통제한다. 경화역으로 오갈 수 있는 출입구 11곳을 전체 폐쇄하고 방문객 출입을 완전히 차단하겠다는 의미다.또 24일부터 여좌천의 데크로드를 우선 폐쇄 조치하고 여좌천 양방향 1.2㎞ 구간에 대해서는 27일부터 차량과 방문객을 전면 통제하기로 했다. 여좌천 주변 이면도로는 23일 여좌동 주민 등 관계자와 협의를 거쳐 통제 구간을 최종적으로 결정하기로 했다.이외에도 벚꽃 명소인 진해 제황산 공원과 내수면 연구소도 27일부터 출입을 전면 통제하기로 했다. 군항제 주요 진·출입 통로인 안민고개는 차량 통행 차단 여부를 검토 중이다. 이와 함께 경화역과 진해역 3차로 변에 한시적으로 허용하던 주차구간을 없애고 불법 주정차 단속도 한층 강화해 차량 유입을 최대한 막겠다는 계획이다.   "
"17","2+2년 사용한 마우스를 보내줄때가 된것같습니다","153","https://www.clien.net/service/board/park/14747012?od=T31&po=0&category=&groupCd=community","      무게추 탈착 기는 때문에 로지텍 500s 처음 구매해서 2년정도 사용하다 무상기간 한달도 안남은 시점에   갑자기 로지텍 종특인 더블클릭 현상이 나타나서 교환 보냈더니 500s 재고가 없다고 502s 를 보내주네요   이번에는 2년 넘게 버티더니 더블클릭 이슈와 함께 단선까지 온건지 마우스로 원이 안그려집니다      처음에는 제가 급늙어서 에임이 이상해진건가 했는데 마우스 수명이 다한것 같네요   500시리즈에 애착이 생겨버린건지 다른 마우스는 눈에도 들어오지 않고   502 무선만 눈에 들어와서 구매결정을 했는데....                           하......... 무선충전패드는 왜 눈에 들어와서 같이 지른걸까요 ㅠㅠㅠ   그거 플라스틱 쪼가리에 무선충전 기능 그것도 전체가 충전되는것도 아니고 구석탱이만 되는데   심지어 저는 유리 패드 사용중인데!!!   사람의 욕심은 끝이 없고 같은 행동을 반복합니다...   "
"18","이번 올림픽 일본 금메달 싹쓸이 하겠네요","352","https://www.clien.net/service/board/park/14747011?od=T31&po=0&category=&groupCd=community","      혼자 출전하니까요 ㅎㅎㅎㅎㅎ   "
"19","라이젠 3200U 유튜브 6K 재생 잘되나요?","27","https://www.clien.net/service/board/kin/14747010?od=T31&po=0&category=&groupCd=community","            라이젠 3200u에서 크롬으로 유튜브 6K 재생 잘되나요? 아니면 4K까지가 한계인가요?   "
"20","집에서 튀긴 닭 - 두번째","896","https://www.clien.net/service/board/park/14747008?od=T31&po=0&category=&groupCd=community","      이번에는 닭다리, 닭날개, 닭봉으로 만들었습니다.       같이 사는 분이 끈적이지 않는 양념을 바른 닭을 드시고 싶다고 구체적으로 요구하셔서 교촌레드 양념 레시피랑 비슷하다고 여러 블로그에 올라와있는 레시피를 참고했습니다.       치킨무도 만들고 촌스럽고 간단한 양배추샐러드를 함께 준비했습니다.       양념소스는 조금 수정하면 꽤 괜찮은 맛이 될 것 같습니다.      "
"21","현재 20대 국회 상황","718","https://www.clien.net/service/board/park/14747006?od=T31&po=0&category=&groupCd=community","         총원 295석 -&gt; 290석 (김삼화, 김수민, 김중로, 이동섭, 이태규 민생당 탈당으로 의원직 상실)   더불어민주당 :129석   미래통합당 : 104석   민생당 21석   미래한국당 : 9석   정의당 : 6석   우리공화당 : 2석   민중당 : 1석   국민의당 : 1석   친박신당 : 1석   열린민주당 : 1석   무소속 : 16석         "
"22","코로나 사태 끝나면 마스크 싸게 사서 보관해야하나 싶습니다","435","https://www.clien.net/service/board/park/14747005?od=T31&po=0&category=&groupCd=community","      코로나 끝나고 미래에 또 다른 호흡기 질환이 안 나타나리라는 보증이 없어보여요.. 사실 이런 바이러스 뿐만 아니라 어차피 발생할 미세먼지도 매년 심해지니 -_-;;      미개봉 상태에서는 딱히 유통기한이 있는 것도 아니라서 잠잠해질 때 즈음 여러 개 사두면 참 편할 것 같습니다. 이러다 저도 미국 아저씨들처럼 벙커 짓는거 아닌지 푸하하..   "
"23","머니투데이의 흔한 삼성핥기","537","https://www.clien.net/service/board/park/14747004?od=T31&po=0&category=&groupCd=community","      내용은 마스크 제조 원료인 부직포 수입하는데 삼성 인맥이 쓰였다고 ""분석""인데 근거는 딱히 없네요.      내용은 전혀 아닌데 제목은 삼성이 어디서 마스크 5300만장 뚝딱 만들어 온줄...      "
"24","처참한 블랙베리 기본 앱의 완성도(?)..","623","https://www.clien.net/service/board/park/14747003?od=T31&po=0&category=&groupCd=community","      -ㅅ-)..쓰다보면 이런 일이 여럿 생기는데 답이 없슴다.         스크린 모서리를 드래그하면 저런 화면이 나오는데 저기에 개인 위젯들을 추가해서 접근할 수 있는 기본 앱임다.      근데 뭔 버그가 이리 많은지..ㄷㄷ      완성도도 구려서 UI나 세팅도 정말 허접한데, 시간표나 테스크 목록 보기에는 편해서 쓰고 있었슴다만 허...      블랙베리 기본 앱 중에 유일하게 정상적인 앱이 캘린더 앱 하나네여ㅋㅋㅋㅋㅋㅋㅋ       허허..애증이져..애증..ㄱ-)   "
"25","나경원 “서울 민심은 양극화…절대 지지자와 절대 반대자로 나뉘어”","847","https://www.clien.net/service/board/park/14747002?od=T31&po=0&category=&groupCd=community","      나 의원은 이번 선거의 최대 승부처인 서울 민심에 대해 묻자 “서울 민심은 양극화돼 있다”며 “이 정부에 분노하는 분들은 강하게 분노하고 문 정권을 지지하는 분들은 강하게 지지하고 있다. 절대 지지자와 절대 반대자로 나뉘었기에 어떻게 평가하기 다소 어렵다”는 입장을 밝혔다.      http://www.polinews.co.kr/mobile/article.html?no=457008      한국인과 토착왜구로 나눠져있구만   "
"26","미국 마스크 현실을 보여주는 기사","656","https://www.clien.net/service/board/park/14747001?od=T31&po=0&category=&groupCd=community","      미 유통업체 ‘타깃’ N95 마스크 팔다 사과 성명   미국 대형 유통업체 타깃(Target)이 일부 매장에서 N95 등급 마스크를 팔다가 분별없는 행위라는 비판을 받은 뒤 매대에서 마스크를 철수하고 사과했다고 뉴욕타임스(NYT)가 현지시각 22일 보도했습니다.타깃은 코로나19 피해가 큰 워싱턴주 시애틀 시내 일부 매장에서 최근 N95 마스크를 팔다가 비판이 제기되자 트위터를 통해 사과 성명을 발표했습니다.타깃은 이 성명을 통해 ""회사의 지역사회에 대한 헌신은 변함이 없다. 사과드린다""고 밝혔으며 남은 마스크를 전량 회수해 워싱턴주 보건당국에 기부하기로 했습니다.      http://news.kbs.co.kr/news/view.do?ncd=4407764&amp;ref=A            의료진 사용할 마스크도 없어서 일반 매장에서 N95마스크 판매하면 욕먹고 사과해야하는 현실   "
"27","[루머] 라이젠 4세대 CPU 탑재, 홍미 노트북 출시???","622","https://www.clien.net/service/board/park/14747000?od=T31&po=0&category=&groupCd=community","      오늘 중국 웹서핑을 하다 보니, 내일 샤오미 쪽에서 REDMI K30 PRO 핸드폰 신모델 이외에도   REDMIBOOK 14인치 AMD 새버전을 발표할 것이라는 예상이 나오네요.   16G RAM 과 512G SSD를 선택할 수 있는 ??      기다려오던 가성비 AMD 4세대 CPU 탑재 노트북이 나오는 걸까요??   https://mbd.baidu.com/newspage/data/landingsuper?context=%7B%22nid%22%3A%22news_9271239906783283701%22%7D&amp;n_type=0&amp;p_from=1                        "
"28","중국발표는 다른건 믿을게 못되구요. 인구수보면 이상하죠.","507","https://www.clien.net/service/board/park/14746999?od=T31&po=0&category=&groupCd=community","      단한번도 인구 감소가없던 나라에서      처음으로 2020년들어 인구감소.         그것도 유의미하게 인구감소 -0-               "
"29","(스포유) 가오스전자 고득점 우산 사업의 미래가..","474","https://www.clien.net/service/board/park/14746998?od=T31&po=0&category=&groupCd=community","      가오스전자가 완결된지 좀 되었지요.   브랜드웹툰으로 고득점과 남나리의 이야기가 좀 공개된 것 같은데요(아 물론.. 정사가 아닐 수도 있습니다만..)   본편에서 진행했던 우산 사업은 망했나 보군요.   망한 이유로 동업자 이야기를 하는 걸로 봐서는 역시나... 두 연애 이야기나 좀 어떻게든 마무리 되었으면 좋겠네요..   "
"30","택배 커팅용 지존 칼 (●´ω｀●)","1361","https://www.clien.net/service/board/park/14746997?od=T31&po=0&category=&groupCd=community","      전 이녀석은 아니지만 같은 날 쓰는 다른뇸 사용중인데요      정말 와따입니다 근데 날이 넘 무서워서 정말 조심 조심 사용하구 있어여      "
"31","그냥 가게문 닫는게 낫겠군요..","837","https://www.clien.net/service/board/park/14746996?od=T31&po=1&category=&groupCd=community","      동네에서 작은 가게를 하고 있습니다..      그제 15일간 종교·실내체육·유흥시설 '영업중지' 강력권고가 발표되었죠.      또한 감염병 예방 지침을 지키지 않고 영업을 강행하면 집회·집합 금지 행정명령을 내리고 지침 위반으로 인해 확진자가 발생한다면 치료비와 방역비 등 손해배상까지도 청구할 계획""이라고 경고하기도 했구요..      그래서 지방자치단체는 오늘부터 종교시설을 시작으로 향후 15일간 무도장, 체력단련장, 체육도장 등 일부 실내 체육시설과 클럽, 유흥주점 등 유흥시설 등을 전면 점검한다고 하더군요..      참고로 위에 명시된 실내체육 시설에 직접적으로 당구장은 포함되지는 않더군요. 하지만 여러사람들이 밀폐된 공간에서 모이는만큼 그만큼 전파 위험성이 높죠..      굳이 영업을 하겠다면...      - 마스크 착용과 손세정제 사용등에 관한 안내 부착   - 직원 및 손님 마스크 착용   - 체온 측정   - 출입자 명단 작성      등이 필요하다고 하더군요..      그래서 혹시나 싶어 하나씩 준비를 하고 있었는데, 조금 떨어진 곳에 당구장 하는 다른 사장님한테서 연락이 왔었는데..      구청에서 점검이 들어왔다. 위 사항중 하나라도 빠지면 벌금 및 영업중지 조치가 취해진다.. 그래서 지금 체온계를 사러 나왔는데 비접촉식을 사려고 했더니 구하기도 힘들고 판다고 해도 평상시에 2~3배 가격에팔고 있다..      라는군요.. 일단 저희쪽은 아직 구청에서 방문은 안했는데...      얼른 근처 약국이나 의료용품 파는곳에 가서 체온계를 알아봐야겠네요..      --------------------      그나저나 가장 큰 문제는 멀쩡히 마스크를 쓰고 들어온 손님들도 가게 안에만 들어오면 99% 마스크를 벗습니다.. (그리고 또 몇몇은 쓰던 마스크를 테이블에 던져놓고 갑니다.. 그때마다 1회용 장갑으로 치우고 주변 소독을 하죠..)      그러면 가서 당구치시려면 마스크를 쓰셔야 한다고 하는데 상당수는 '네가 뭔데?' 라는 식으로 나옵니다. 특히 저녁시간에 술마시고 오는 손들은 난리칠게 뻔하고..      게다가 지난주에 테스트삼아 출입자 명단 작성 부탁했더니 대부분이 역시나 네가 뭔데? 개인정보 유출된다고 반발이 심해서 보류했었는데... 다시 시행하면 아마 난리가 날건 뻔하고...      결국 이러한 손님들의 반발을 감수하고서 규정을 지키면서 영업을 하던지.. 아니면 아예 문을 닫던지... 둘중에 하나를 선택해야겠네요..      꼬리) 옆동네 당구장에도 자주 가는 단골이 있어 어제 물어봤더니 거긴 뭐 걸리면 걸리는거고... 우린 예전처럼 마음껏 해~ 라고 그냥 배째라.. .하는 상황이고... 의외로 손님들이 넘쳐난다고 하더군요.. 거참...   "
"32","굿닥 셀프바이럴","806","https://www.clien.net/service/board/park/14746995?od=T31&po=1&category=&groupCd=community","      https://www.clien.net/service/popup/userInfo/basic/bongjabongCLIEN   일반인인척 컨셉 작렬이네요.      돈아까워서 바이럴도 셀프인지   "
"33","만장일치로 가결된 호주 올림픽 불참 선언","1142","https://www.clien.net/service/board/park/14746994?od=T31&po=1&category=&groupCd=community","            올해는 호주의 올림픽 대표팀을 구성할 수 없다는 데에 만장일치로 동의.   연기를 준비하고 있다고 합니다.      "
"34","문재인 정부 아니였으면 사재기 광풍 일어났을거라고 보시나요?","687","https://www.clien.net/service/board/park/14746993?od=T31&po=1&category=&groupCd=community","      저는 가짜보수 쪽에서 정권 잡고 있었다면 높은 확률로 그렇다라고 말하고 싶네요      지금 이렇게 차분하게 별일 안생기고 넘어가는 이유는 대다수의 상식이 있는 국민들은 우리 정부의 재난 대응 시스템을 믿고 있기 때문이죠.   가짜보수놈들도 속으로는 그렇게 생각할거라는데 100원 걸게요   "
"35","세월호는 언급하지 말았어야 합니다.","1476","https://www.clien.net/service/board/park/14746992?od=T31&po=1&category=&groupCd=community","      참... 대단하신 븐입니다.      소셜게임당엔 글올려도 되고 모공에 글 올리면 세월호 운운 입니까..??   "
"36","[DIY 문의] 화장대 경첩? 교체 문의 드립니다,","40","https://www.clien.net/service/board/kin/14746991?od=T31&po=1&category=&groupCd=community","       안녕하세요~~~ 여러분   코로나로 많이 힘든 시기일텐데, 우선 건강 유의 하시기 바래요      재택근무로 집안 구석구석 두리번거리다가 화장대 경첩?(인터넷 쳐보니깐 ""플랩스테이"" 라고도 함)을 교체 하려고 합니다..   헌데 DIY 경험이 없다보니 자문을 얻기 위해 글을 작성 합니다.       교체 사유는 아래 화장대 거울을 보기 위해 화장대를 세워야 합니다. 사용을 다하고 화장대를 닫을때 아무런 안전장치가 없다보니   손에 놓치면 위험한 상황이 발생할 수 도 있다고 판단되어서   경첩을 유압식? 쇼바가 있어서 안전한 경첩으로 교체 하려고 합니다.       문의사항   어떤 제품으로 교체 해야 할지 몰라 문의 드려요       교체조건         그림1. 교체 대상 제품   그림2. 화장대 오픈 시 120도 정도 나옴       문의사항   위 그림1,2의 조건을 대체 할 수 있는 제품이 있다면 코멘트 부탁 드려요      항상 많은 도움 주셔서 감사합니다   코로나로 건강 유의 하시고 이번 한주도 파이팅 넘치시길 바랍니다      감사합니다.            "
"37","사진이에요.jpg","1001","https://www.clien.net/service/board/park/14746990?od=T31&po=1&category=&groupCd=community","      폭발한 고양이예요      /Vollago   "
"38","디월트 공구 수납함 고르기","964","https://www.clien.net/service/board/park/14746989?od=T31&po=1&category=&groupCd=community","      예전부터 단독주택 지으면.. 작업공간에 외쿡 가정집에 많이 있던 이런 공구함을 갖다 놓는게 소박한 바람이었습니다.               그런데 현실과 타협하며 집을 짓다 보니 집은 큰데 그 나만의 작업공간 갖추기가 쉽지 않더군요 ㅠ      그래서 현관 옆에 조그만 창고에 그냥 공구함만 사다 놓는게 최대한 할 수 있는 일인걸 깨닫고 ㅠㅠ      예전에 공구함을 샀는데 알고 보니 그게.. 디월트의 모듈형 공구함인   티스텍과 터프 시스템 중.. 터프 시스템이더군요.   그걸 진작 공부하고 샀으면.. 티스텍으로 다 샀을텐데..   터프 시스템을 미리 하나 사놔서 전부 터프로 갈지 고민이네요.   터프는 밖에서 말그래도 터프하게 쓰는거라 방수도되고 더 튼튼하다는데.. 전 그정도까진 필요 없으니..   티스텍으로 구성하고 싶은데 미리 사둔 터프가 아까워서 어찌할까 고민입니다. ㅎㅎ                     집 모든 공구 잡다구리를 다 정리할 목적으로 플렉스 한번 하려고 합니다. ㅎㅎㅎ      "
"39","알구게 AKG n25 왔습니다!","492","https://www.clien.net/service/board/park/14746987?od=T31&po=1&category=&groupCd=community","      정가 기준으로 제가 써본 유선중 가장 비싼 리시버군요 ㄷㄷ   비교해볼만한게 에어팟 프로, WH1000xm2(이하 m2), 삼성 ANC유선 이어폰(feat. AKG)   인데   이거... 좋네요?!   에어팟이나 삼성꺼는 비교할 급이 안되고   제가 가진것중 그나마 가장 좋다고 할 수 있는 M2의 유선모드보다 좋습니다 ㄷㄷ   M2도 참 좋다고 생각했었는데   n25듣고 M2 들어보니 M2의 사운드가 뭉쳐서 들리는 마법이..........   삼성 ANC유선과 비교해보면... 현악이 배경으로 있는 음악이었는데...   삼성꺼로 들을때는 현악이 안들리다가 n25로 들으니 엄청 잘 들리는 효과가...   듀얼 다이나믹 드라이버라 그런지 고역 저역 분리가 확실한 느낌?      벅스에서 flac음원을 들으면 간질간질한 그걸 느낄 수 있습니다(당연한가..)      특징이 iOS와 안드 두종류의 OS를 모두 지원하는건데요   어떻게 한건가 했더니 리모컨부에 모드스위치가 있습니다   기본 세팅은 iOS인듯?      AKG의 N시리즈중에서 막내던데 다른것들은 어떨지 ㄷㄷㄷ   다만 이어폰이기 때문에 공간감은 없습니다      다만 정가 25만원짜리의 위엄 ㄷㄷ   현재 9만원정도에 판매중입니다   물론 저는 34달러 배송료가지 5만원정도에 구매했으니 개꿀                  "
"40","기차탔는데 거리두기 시행이네요","788","https://www.clien.net/service/board/park/14746986?od=T31&po=1&category=&groupCd=community","      옆자리 다 비워두고 좌석에 한명씩만 탑승 ㄷㄷㄷ   일행있는 경우 제외하고는 강제로 분리시키나봅니다   과연 저녁 퇴근시간때는 어떻게 될지 ㄷㄷㄷ   "
"41","엔비디아 암페어와 암드 빅나비...","262","https://www.clien.net/service/board/park/14746983?od=T31&po=1&category=&groupCd=community","      암페어 &gt;&gt;&gt; 빅나비라 당연히 생각을 하고 있었는데 엑박 스펙공개 즈음해서 엔비디아가 갑자기 암페어 출시를 미루더군요?      빅나비 성능이 예상보다 높다고 판단해서 빅나비 나오는거 보고 결정하겠다는것으로도 보이고요.      갠적으론 빅나비가 엄청 잘나와도 암페어가 성능은 더 높지 않을까 합니다. 다만, 지금의 5700xt 정도냐 아니면 턱밑까지 쫓아오느냐      차이같고요. 암튼, 그래픽카드 다음세대는 뭔가 성능상으로 크게 점프하는 시점이 아닐까 싶네요. 구매타이밍이 돌아오는것같습니다.   "
"42","권영진 대구시장 진짜 너무하네요","2203","https://www.clien.net/service/board/park/14746981?od=T31&po=1&category=&groupCd=community","      원래 빨간당 503충성인건 뭐 알겠지만..      긴급지원 총선다음날 지원한다는 기사 보니      좀비영화 보면 세계 모든정부가 무너져서 지역 갱단들이 사람들 피빨아 먹는거      그런 영화의 한장면이 머리속에서 생각나게 되네요.      와.... 정말 예전 안두희의 ""정의봉"" 생각나네요   "
"43","오토바이 여행중입니다람쥐!","1519","https://www.clien.net/service/board/park/14746978?od=T31&po=1&category=&groupCd=community","      주말에 사람 버글 거리는거 피해서 월요일에 미뤄 왔던 오토바이 여행을 왔습니다..      자체 격리중 클량 중독 고쳐 보겟다고 나와서 왜 이런글을 쓰고 있는건지 자괴감이 듭니다만..      답답하신 분들 꽃구경이라도 하시라고 사진을 올립니다...      사람들이 없어서인지 놀러 나온 다람쥐를 만났네요..   이렇게 다람쥐를 가까이서 본게 처음 입니다..   바로 눈앞 2-30 센티 근처에서도 도망 가지 않고   눈을 마주쳐 주네요.. 정말 신기한 기분이었습니다..      그리고 잠시 절에 들렸는데..   여기도 부처님 오신날 연기 하는 현수막을 붙여 놓았네요...   다른종교로 보면 크리스마스를 아에 연기하는 결정이었는데 다시 한번 호국 불교의 위대함을 느꼇습니다..      오토바이 타고 아무도 없는곳에 오니 스트레스가 좀 풀리네요..   또 앞으로 2주는 열심히 격리 생활을 해야 겟습니다 ㅠㅠ      "
"44","로지텍 K480블투 키보드 쓰시는분 계신가요??","621","https://www.clien.net/service/board/park/14746977?od=T31&po=1&category=&groupCd=community","      절대 비추드립니다.   타이핑할때 키캡.. 센터를 누르지않으면 안눌립니다.   원인은 만약 키캡의 4면 모서리 부분이 눌리는 상황이면   아래로 내려가면서 키캡 주변 하우징 과 간섭이   일어납니다.      이건 타이핑을 하라고 만들어놓은건지.. 리콜 수준입니다.      사용기 보면.. 부드러운.. 키감??    부드러운이 아니라 드러운 키감이 맞는것 같네요.   덤으로 기분도 드러워짐..       잘 쳐지다가.. 먼가 안눌러지는 키를 누를때 느낌이란.. 정말 드러움.   "
"45","atemlos","153","https://www.clien.net/service/board/park/14746975?od=T31&po=1&category=&groupCd=community","             "
